iR33,dir,file,fileDate,targ,zaTarg,proj,year,author1,Source,Reaction,dataType,x4,Emin,Emax,Egamma,Units,Theta,nData
37,al7d,al7da4$1,2011-08-04T09:15:00,27Al,13027,d,1968,G.Corleo,"G.Corleo+(1968), Jour. Nuovo Cimento B, Vol.56, p.83","27Al(d,a4)25Mg","NRA","D0389004",1600.2,1999.2,"",mb,90,9
38,al7d,al7da4b,2008-10-29T00:00:00,27Al,13027,d,2008,A.F.Gurbich,"A.F.Gurbich, S.L.Molodtsov, Nucl. Instr. & Meth. B266 (2008) 3535","27Al(d,a4)25Mg","NRA","D0435003",1520.0,2410.0,"",mb,150,102
39,al7d,al7da4c,2008-05-19T00:00:00,27Al,13027,d,1966,M.Corti,"M.Corti et al. Nuclear Physics v.77 (1966) 625","27Al(d,a4)25Mg","NRA","F0966002",1511.7001,2314.3,"",mb,173,66
40,al7d,al7da4d,2008-12-17T00:00:00,27Al,13027,d,1964,M.A.Abuzeid,"M.A.Abuzeid et al. Izvestiya Academii Nauk v.28 (1964) 1717","27Al(d,a4)25Mg","NRA","F1011002",1252.0,2531.8,"",mb,135,59
41,al7d,al7da4e,2010-01-22T00:00:00,27Al,13027,d,1965,J.H.Williamson,"J.H.Williamson  Nuclear Physics  v.69 (1965) 481","27Al(d,a4)25Mg","NRA","F1074007",1198.4,2000.5,"",ru,165,35
42,al7d,al7da8$1,2011-08-04T09:16:00,27Al,13027,d,1968,G.Corleo,"G.Corleo+(1968), Jour. Nuovo Cimento B, Vol.56, p.83","27Al(d,a8)25Mg","NRA","D0389004",1599.3,1999.8,"",mb,90,9
43,al7d,al7daga,2011-07-07T00:00:00,27Al,13027,d,2000,Z.Elekes,"Z.Elekes et al. Nucl. Instr. & Meth. B168 (2000) 305","27Al(d,ag2-1)25Mg","PIGE,NRA","O0875010",1400.0,3400.0,"585",yield,135,18
44,al7d,al7dagb,2011-07-07T00:00:00,27Al,13027,d,2000,Z.Elekes,"Z.Elekes et al. Nucl. Instr. & Meth. B168 (2000) 305","27Al(d,ag2-0)25Mg","PIGE,NRA","O0875026",1400.0,3400.0,"974.7+983.0",yield,135,18
45,al7d,al7dp0a,2010-01-16T00:00:00,27Al,13027,d,2008,S.Pellegrino,"S. Pellegrino et al., Nucl. Instr. and Meth. B 266 (2008) 2268","27Al(d,p0+1)28Al","NRA","D0430002",1000.0,2000.0,"",mb,150,9
46,al7d,al7dp0b,2010-09-08T00:00:00,27Al,13027,d,2008,A.F.Gurbich,"Recommended - A.F.Gurbich, S.L.Molodtsov, Nucl. Instr. & Meth. B266 (2008) 3535","27Al(d,p0+1)28Al","NRA","",1300.0,2300.0,"",mb,150,51
47,al7d,al7dp0c,2008-05-19T00:00:00,27Al,13027,d,1966,M.Corti,"M.Corti et al. Nuclear Physics v.77 (1966) 625","27Al(d,p0+1)28Al","NRA","F0966003",1501.2999,2314.3,"",mb,173,54
48,al7d,al7dp0d,2010-04-21T00:00:00,27Al,13027,d,1979,A.Osman,"A.Osman et al. Annalen der Physik v.36 (1979) 64","27Al(d,p0+1)28Al","NRA","F1080011",1696.1,3046.7998,"",mb,90,72
49,al7d,al7dp10a,2010-01-16T00:00:00,27Al,13027,d,2008,S.Pellegrino,"S. Pellegrino et al., Nucl. Instr. and Meth. B 266 (2008) 2268","27Al(d,p10)28Al","NRA","D0430002",1250.0,2000.0,"",mb,150,10
50,al7d,al7dp11a,2010-01-16T00:00:00,27Al,13027,d,2008,S.Pellegrino,"S. Pellegrino et al., Nucl. Instr. and Meth. B 266 (2008) 2268","27Al(d,p11)28Al","NRA","D0430002",1000.0,2000.0,"",mb,150,10
51,al7d,al7dp12a,2010-01-16T00:00:00,27Al,13027,d,2008,S.Pellegrino,"S. Pellegrino et al., Nucl. Instr. and Meth. B 266 (2008) 2268","27Al(d,p12)28Al","NRA","D0430002",1000.0,2000.0,"",mb,150,10
